runid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.011873160334655799,0.025667295102550388,0.027103337805743855,0.02460347938529793,0.008642372666267946,0.04383261810572978,0.05595800827844467,0.021709651549775333,0.06142121828631988,0.04212215492986023,0.0605552024623993,0.03959732204870039,0.013775403629093613,0.030538524563924738,0.03389586077320529,0.032900229596036806,0.03970644005063271,0.012250582468410497,0.016939210687952625,0.1361297568688504,0.1363576812101432,0.13787642732033992
2,0.009548540718634676,0.00949085322285213,0.012218103691969635,0.009860843010228706,0.010347310075424445,0.012002701211711406,0.014885719041839426,0.013554904349536484,0.01639294413280284,0.011679131798101747,0.01688048383550402,0.01611745987625622,0.008676788011202547,0.012221109700537016,0.01361214544876508,0.011337620115799354,0.013732904390888766,0.008291075297932639,0.014350560901920132,0.04042255593642274,0.04481222587649971,0.042311817136527104
3,0.008638500138978331,0.009259608200753491,0.010087951742522396,0.011347435670716964,0.008880934166408687,0.008100726220430848,0.010877060663299956,0.00667953192416841,0.01589002327310286,0.010957806772534773,0.01531948164553614,0.009536495081091756,0.009132327039358214,0.011364827482522296,0.010433316842988425,0.016614926381645426,0.013538880399917842,0.011038466374337001,0.010588115940089775,0.031884648042707325,0.028953730200180737,0.03393139479596735
4,0.008879974401889569,0.01056432793242478,0.011943519225272693,0.013067644236798097,0.006761950831595853,0.009424989091465961,0.012513389517616127,0.012043610987199997,0.013639293276685624,0.012325374168960443,0.01608731281986826,0.011500840279261787,0.010705683917027604,0.012961458161155251,0.0106707206509903,0.01136203441180802,0.012959376465704463,0.010851316785545356,0.014778947020233359,0.03041142511647223,0.030297226282357644,0.029405732311389113
5,0.012115537304958951,0.014952485725818795,0.01505068192804242,0.014381797236178764,0.0071438188026437385,0.01828581926559175,0.016435946689348627,0.013720870011830128,0.01561556868673232,0.014894269520832329,0.015969656106615146,0.014859007666385598,0.01356841163221158,0.017524093017219675,0.014583294739237895,0.013508101883350769,0.02316160209963579,0.012348232414349958,0.008450885763630733,0.01722773117732368,0.020455102222429744,0.02020010297049129
6,0.008903929588321556,0.013932744871252628,0.01583437516441932,0.016797697086435293,0.008429627578490455,0.013885632190119962,0.014716372536962967,0.010134410799919578,0.01619771268831127,0.014114168576173123,0.014948078359015156,0.01321754233712448,0.013590979634829638,0.014890711879827948,0.015532793619016019,0.012559126040804896,0.01507907579717078,0.011589223348504651,0.00981433088539334,0.01960223002216042,0.014697643036170835,0.014770597051867033
7,0.007664448461349115,0.008821124291232326,0.010084427353613168,0.008446681322006344,0.00970629566944594,0.010244027287482995,0.014071677050334226,0.007538430318262595,0.015181558294743698,0.010738012056950453,0.0158234201373721,0.013335613306472602,0.010750953716144136,0.012236056995444602,0.014235622207679354,0.01215279836531963,0.013851564281154118,0.010392154323269136,0.010366698585865298,0.014669486291427085,0.012603178563526347,0.012211570149147111
8,0.007792037874093209,0.012894030414525089,0.010637188647377055,0.011503630761174017,0.008083495677463734,0.01438581358657122,0.01699620130637074,0.009791183309767538,0.01029237993794544,0.011020916849644765,0.011850907901116479,0.015501457660447198,0.011107737722578203,0.009541494545158966,0.013302191109357119,0.01276314750141406,0.013007426885396862,0.014722507985884979,0.009328416097973649,0.020718610104302294,0.01816579413728382,0.021239166902949465
9,0.008411660073381365,0.013054150932210356,0.011663290075408339,0.009787218376028663,0.008563965916797558,0.010415928306267008,0.010711630855973682,0.009612441592979566,0.010600626091736199,0.011395508799017412,0.011230806690518519,0.015434648484756255,0.01135808557519058,0.011756792967656825,0.010418735066051243,0.01301798115296477,0.014261971371176711,0.006669897268301739,0.006017980882285206,0.02559098038561701,0.027775536623253525,0.03213687591775037
10,0.0077914431623891224,0.011014098602441156,0.009737718830528718,0.01214466867333225,0.007721913132117415,0.01404500541055423,0.01785234555235845,0.010771557098671437,0.01496829881637886,0.01582476745958211,0.013305598454650867,0.01486588319116034,0.008027261418788812,0.011295248955341777,0.010509939970743485,0.012965523649961383,0.013991606187952765,0.010034983084298092,0.013873369880323814,0.03621599405123512,0.03858261398993717,0.037808201184609994
