runid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.009941844544866196,0.030729139290105775,0.03272659440729184,0.024495708119811246,0.01669394021855878,0.04915792408644716,0.06964884053688072,0.020669946065358057,0.072117881128789,0.04726523384210845,0.06649960276132136,0.043139738403331386,0.02682805750316553,0.04060626913074863,0.030935525084592123,0.03842289761879737,0.044158447418623216,0.020730727208637,0.019008145783399346,0.14287242504516595,0.14224628698053596,0.14317954750297898
2,0.013775235599964486,0.01344060820729085,0.030746340554014345,0.02378663804079191,0.006624078099573243,0.02027805130808616,0.03600049120370038,0.031221547251888877,0.05806681770316057,0.028880239655249707,0.06673570868720749,0.024445713527989313,0.02726058981037657,0.06582392217921856,0.02065520537479131,0.028385737809260982,0.0311771454032114,0.01849555213487361,0.01941579801831148,0.13451737956913715,0.1290910964196838,0.1288105840632841
3,0.02507252328193088,0.024433745329558235,0.047480055647410244,0.03333707941221782,0.020772413917117583,0.021538474342786787,0.024802174491612244,0.0336475487169974,0.03580209857701752,0.021104266198779132,0.053984916177968946,0.0270166231024539,0.0150287779511749,0.030962628963290606,0.022976471016903012,0.02746625078219064,0.029510282267546897,0.023140191505268116,0.018288684287905543,0.10603590999861395,0.0926825134139963,0.09842756344285647
4,0.020619354130170225,0.02596100974247463,0.04996691267717277,0.027140897330512916,0.013775110230355181,0.020742191941815577,0.011037289485136721,0.026965852618839038,0.022488999117460873,0.02676641751013892,0.023515192061228863,0.02818082443619533,0.027845839661864984,0.020785192793144357,0.020028487792114108,0.017008620892297942,0.015325888779114187,0.019410944491030625,0.018127974435534294,0.07622750359118831,0.06989372138388102,0.06917393119753246
5,0.03220969321152173,0.025770780965127225,0.05910291123607753,0.025315872164779332,0.02741221329838683,0.051599506336470265,0.0428090463564131,0.030969963731785226,0.02135690722960994,0.018858353611707613,0.036022794985004485,0.02445221880047166,0.019687069700646823,0.022838138673394147,0.030979915635534948,0.02872595384962995,0.03546480986273108,0.027860291614610316,0.008055127020599255,0.016948636858521306,0.020791474728216467,0.037010818901905405
6,0.017068528937370608,0.02027097659744933,0.03657402103333768,0.020200207004329562,0.01224129098511626,0.03451500466886758,0.05972841610047796,0.026891246807071792,0.042169185161235065,0.023422219608381655,0.022851548135066214,0.022886797684742693,0.032908198734035526,0.018209471521265053,0.029007476919357754,0.02769092950006714,0.03189666495145318,0.016946493349691175,0.010015634679338171,0.03022289683551349,0.024627894671577305,0.028279436217691453
7,0.0540319735750747,0.032555829071004114,0.063534609015968,0.028419208081283873,0.02159786811830709,0.04046563778972595,0.05104658174698354,0.046259679900840206,0.0445644478476193,0.04200796634692125,0.02554596674036583,0.04593322951616886,0.030570395346941667,0.032854154304794304,0.026920735262286607,0.027695589436289268,0.024476837241258327,0.008578339334736517,0.01787130227477949,0.02351008148893488,0.013034367375422191,0.024125994074215704
8,0.02815386741388171,0.02298189098289219,0.052942063330244746,0.028488381582598695,0.02183151681008009,0.03749748921035659,0.019480102106290628,0.025421544235033983,0.039434406563673766,0.019547062061224044,0.017413553868300333,0.02117480283512723,0.03184043791024448,0.02370809922217039,0.023462755787190558,0.013831760967911402,0.01994318298333421,0.02314973654197604,0.024542801270393644,0.05986260025346333,0.04033468040833107,0.029645206625823272
9,0.01812131726760538,0.01977899318916977,0.017608841394102206,0.025535158792044186,0.010067637464011254,0.018860725640139582,0.049761351395072054,0.02007484352178855,0.025931166387566863,0.02727979867992232,0.017778137076508247,0.027460641123751815,0.0318770367654468,0.02478762113756565,0.02135755057333567,0.02118708908621703,0.02838782479866994,0.004058135611647791,0.009677084271900043,0.0501421633935248,0.05169753806486682,0.06103218182925877
10,0.02952969970799011,0.020978878780804188,0.03256075516441384,0.033457239827398635,0.01985085961288634,0.03998136996197906,0.04102225512179526,0.0216221236151023,0.0351311020948238,0.027608726745730144,0.02904466444518361,0.02563194379094769,0.030275573306628396,0.006397456541167532,0.007993173288217439,0.018700868634721,0.02945052079254442,0.015164372978953953,0.012825619354285969,0.0943314620456719,0.08875595086080197,0.08675072812547492
