runid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.007147425376014034,0.031724891113932736,0.042586352855011216,0.03417698185543163,0.010383020091990538,0.05392816309610504,0.05909758476190494,0.026629207849518995,0.06793081157881246,0.04990726905101225,0.07575490686530188,0.05028053104605485,0.030017418590586965,0.04030314409598205,0.0333331310849309,0.03452794221301739,0.04445104013179284,0.01844398373475786,0.007498825612745758,0.146813337179086,0.14465825465509805,0.14584236956216728
2,0.030072257186680194,0.016194417363519155,0.03670726281232367,0.043649917559544754,0.013941555424059792,0.04694657725843598,0.048911794392515286,0.038353932180789065,0.06562162140854091,0.05188091027916688,0.06459808281096713,0.060685011988584316,0.059474157583022026,0.05052995491118262,0.060100233555557867,0.07124760273015583,0.05267382744034725,0.019593017391306883,0.00858074995996478,0.16466551386878836,0.1631528664651076,0.1646059188035878
3,0.02097654454078067,0.020704313978503232,0.030858649206457044,0.07523359184273226,0.026687021790915484,0.042281412091633074,0.03085742985529671,0.017958379681068382,0.06490102097453747,0.05042743856908773,0.06447763123157894,0.056142761335047246,0.040247787804766365,0.042815862814501546,0.05005304395237406,0.07077595321864827,0.05817688780337642,0.010219921653503891,0.0058501355398959155,0.1722775145881677,0.16479909751283828,0.16668833672254862
4,0.032461517606637715,0.024077855878730875,0.03147889577713761,0.04712941539989849,0.027666178955303444,0.05301630874721848,0.014392797437195303,0.04362737057887438,0.025027792763321108,0.02126993118712595,0.0324960610925065,0.037130453913840684,0.026880388440952377,0.039299545583910404,0.02467450743968057,0.027436617728296198,0.023364779173064044,0.023961647185256698,0.010258009873216596,0.10007229724430756,0.10398333973495139,0.10260257614521459
5,0.02538134304199964,0.050510662915086026,0.045341460426474606,0.04116654994043836,0.020925822292779284,0.0768071501318606,0.048860657658795575,0.020597238107845132,0.02814594651915054,0.03556762724762532,0.06584244399138856,0.042743543766768824,0.015345755094029545,0.032926688473857706,0.0322575193533952,0.03426287697486385,0.042960061895947435,0.007177958878724261,0.004851674807200553,0.013408501847718317,0.028993749038141906,0.08319024961597739
6,0.018852858754831548,0.04467319330297344,0.04316274501422735,0.051471615882730165,0.01726199328488829,0.07456721888233296,0.05298854981677085,0.010223951885455608,0.018328657692965582,0.046433819078843704,0.061324404625445125,0.04125644995284265,0.014353003361671448,0.03507791444507955,0.03189378462515696,0.04469217096199696,0.04798130108453796,0.008905109661124424,0.007084561095448341,0.009369102986633416,0.0184450137414331,0.022063890502635523
7,0.024446501508810208,0.03823884192308487,0.045582321158429154,0.04364840769781678,0.015860760856563752,0.06308231199692835,0.04062959653044805,0.027623439733820355,0.014516662803720912,0.03044849833386031,0.025688420518909894,0.027387003593215907,0.016843429249728762,0.030481252812288372,0.029490023428381272,0.03599867016848077,0.04557162601800227,0.0059713953502331905,0.008093835407388983,0.0637552046388326,0.009309670943361327,0.016850342036121287
8,0.012345022635149307,0.03364605197538086,0.04206984975017586,0.03575290827419162,0.013576935318716598,0.04901338981841774,0.023497344247508566,0.015684329340025057,0.014914778007409093,0.019385604600411638,0.023941865040463414,0.018667167278727807,0.029456919569297035,0.04031706231157327,0.02166132694124588,0.020223704025561638,0.023563006417910565,0.01735306752784329,0.03725594868544581,0.10353595433863702,0.058948626275079546,0.027800813795796086
9,0.016553203828876616,0.03655296427049856,0.0315495993842875,0.03872246050010667,0.020469555883308253,0.05522521837713746,0.04430747888616074,0.028074411339003034,0.030376118247465344,0.03062647453056657,0.023825750628509404,0.035149206602741255,0.028163116024574775,0.027315903630237254,0.027182326787357294,0.01859420150928964,0.031814396274657396,0.017623999557287613,0.020959183288524655,0.0948357824229382,0.07254969850941803,0.058567292773775176
10,0.008387738100099873,0.03253631496535738,0.035776343773654844,0.036046375164758136,0.006730439107817692,0.05315293247788567,0.05387318555863199,0.018269942527967795,0.04559478727173168,0.046439123253984714,0.029752156477694892,0.03823760625618857,0.018737997666659404,0.008831265167784154,0.00843048784401088,0.028213368411047622,0.039963339323572857,0.009911016751376074,0.010690159634592992,0.13646333182107578,0.12075649580285702,0.12026714787434083
11,0.0220989714542742,0.03167576368403512,0.024073821247434214,0.033698634273751714,0.008669407287339054,0.05900697838954728,0.05801621641604277,0.021121033890060547,0.056710684637369176,0.052628507420733286,0.050613970667044754,0.04071530589429002,0.013901610683911936,0.015338895131440449,0.01764394262862701,0.029478685397998375,0.04083046644151588,0.009846215716800076,0.015526086970189095,0.14073516235273412,0.1414108051924699,0.14236756324601538
12,0.02545893905629856,0.03133889367271472,0.02145231854692371,0.029293890583882546,0.020049797360703912,0.09564448405983171,0.07538886754206717,0.024271627635383,0.0649626015006302,0.06246631679175436,0.06414438201688628,0.04680464775151185,0.021804560145784562,0.026792929587286744,0.04825288066246481,0.022540241559034686,0.047693497259157114,0.015657641220073654,0.010160968654519735,0.1536649856602385,0.15623132103990967,0.15769588305991086
13,0.011847845197047078,0.025521891226983645,0.02661695256975984,0.014235924075129252,0.008159170400172711,0.04638563651883412,0.04884501194664195,0.04019461152145513,0.060503175590251465,0.03935979663853316,0.08610077965187272,0.03334912374327941,0.01577249884878652,0.04503319668947062,0.03046212357876913,0.033433022791363384,0.04844255713757322,0.013716292929089591,0.007998657130793185,0.13420490575605626,0.14101640412925984,0.1416329068251606
14,0.015877290589241224,0.03461391692422268,0.03051053652282387,0.03653775767428405,0.011340223520557476,0.06458838814088211,0.060473253542379195,0.029982537760747704,0.0659154073396105,0.04866577374931839,0.06992995532347628,0.044867368750367426,0.039639785910101484,0.05090485910001143,0.03809731149563764,0.03353185214555831,0.04984854042147398,0.024076490504553804,0.01902141329317841,0.14846512142253648,0.15010646078005596,0.1515120594613119
