runid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.013247073774670324,0.027740038704268805,0.02757423588840604,0.02531654387102863,0.014245534460158525,0.04760743568220722,0.06945522172844894,0.032024859135858896,0.07126940257380145,0.05105319372544656,0.06992629145534883,0.04853112219322522,0.043613761126371615,0.04723246375794057,0.029593120447442233,0.033676183511295116,0.04239869232331408,0.030634039956183568,0.02592119351279281,0.14629047000356468,0.14396318121045226,0.14459919666213192
2,0.03338091196901767,0.02134867438236003,0.05167627201240313,0.023668144781001522,0.01984882163313259,0.026904198451324978,0.04083199804475205,0.03758227071557197,0.06499445050048125,0.03576189205164692,0.06762429833354373,0.03403295841217663,0.008413522054600792,0.04520084688383976,0.021589097429356753,0.02580558866391913,0.0372922276975235,0.03362388103521012,0.015144541814791572,0.1313211043628234,0.13397796232725676,0.13622883548465017
3,0.02743517978766125,0.02245433482804768,0.051581577984783286,0.02908752807318737,0.021937914386469116,0.022209659339429567,0.022590564266417732,0.03761378908876008,0.04017331206893515,0.02128593014902087,0.05751092572117807,0.030190651873924473,0.008579934174159382,0.035795059284401354,0.02321469725753587,0.024269876630768027,0.02658178810406509,0.02666018943292138,0.018100142285210126,0.10291388140593653,0.09998367886567774,0.10893332840028509
4,0.044687112867598605,0.02255481070778166,0.06210941687326879,0.029134731567395777,0.0326036800048603,0.03471165700736505,0.024032600879155153,0.03304665627874692,0.024884143414399106,0.024265602786255353,0.034396209493483265,0.028564906665662512,0.027944308997979873,0.03357361197066841,0.016711142885756026,0.019173749441159675,0.020821517800139442,0.021903249314784174,0.016189517960447302,0.09100126091865374,0.08483808561335629,0.08404070673423508
5,0.02540907552069647,0.02868815876787167,0.05681460653976976,0.024757702471280937,0.02248771663788643,0.06238609667248166,0.041954747749005275,0.0337972446647717,0.021842818778263454,0.021401005447167182,0.03550823611282486,0.025356308707600875,0.021860543290263146,0.023676801918384508,0.03603177721866183,0.029563211715517648,0.03494724801218927,0.024317821216297508,0.00718174839641349,0.00940628494388354,0.02937827961377856,0.04269563288448964
6,0.014544464760967869,0.021407221561705617,0.03516118596234829,0.018955413447760985,0.007488608741794376,0.029471795853225603,0.053524363070748586,0.03839139086236951,0.04100783549012021,0.024418320128439194,0.021695242860569217,0.024347750022275162,0.03364957404262456,0.01899203826622019,0.03408814273831915,0.03276736975011122,0.03199305884057204,0.012378628486262738,0.01206989425790412,0.03381216026983951,0.027178182832134915,0.029693351500972836
7,0.03588103596715038,0.022635032731164784,0.055050628591639804,0.0279437674609659,0.02772584885012175,0.03787119228756726,0.02429829640439931,0.02653966777619682,0.023763098051661432,0.01637806051570353,0.016738099076971946,0.018023949301353023,0.03197379872205939,0.016716285663616978,0.025721409051082098,0.02205352374315752,0.034541941399978376,0.012706809129921549,0.025884627764975715,0.04723198174337601,0.007365201991353674,0.007832856630416017
8,0.026006841507400635,0.020973342964051192,0.05138077860249012,0.024013228087151905,0.018356526487484936,0.021712067994847168,0.01146429987679225,0.038291378288122284,0.025549841046445046,0.01848552316322271,0.016052539747835045,0.021580422830039428,0.04313481781455228,0.02870103190896635,0.03123236126797998,0.014467478023594145,0.021093762860826763,0.02114140962369866,0.04877722386628544,0.07797388142791613,0.057738126887722015,0.0504478109875817
9,0.03134486162194386,0.022470739097319364,0.03885465902755718,0.02958748992485858,0.015625536594608972,0.022303340346001132,0.020960364703690254,0.03619631451011661,0.018710200256329617,0.020981013689101557,0.01782583014771422,0.025010677023738204,0.033709796032734406,0.016862966549498447,0.019763295106133075,0.018978026506081415,0.032370003634872004,0.02086288548340952,0.02144536655962131,0.058696030478772254,0.042554177510401664,0.046898006004590286
10,0.043463523951879364,0.025481164655646173,0.047369004645213104,0.027225516098546006,0.03685048029595092,0.03986017830115282,0.04942831173772051,0.026790755120570987,0.04373431487434495,0.0375234221019178,0.031316941172942106,0.03830840990536474,0.03132735821623454,0.01773303398020466,0.01771986841806571,0.022291122277178412,0.03238892160991931,0.022345283091854847,0.02008225665326951,0.11757034166638211,0.1128742012781464,0.10816181468479893
11,0.06854938145579328,0.03361411827947816,0.036134367304926716,0.028822814430687585,0.039342705279625995,0.05851501339745747,0.06564168012318014,0.04771586060102372,0.0625856359642931,0.052439324139211756,0.040710450282390766,0.04468157263721172,0.027881675096949533,0.028141746906044506,0.02273232211182691,0.03171987806688513,0.03357401728112937,0.010778918712293672,0.02249826044809634,0.1386153487097731,0.13465686763475582,0.13420274355885517
12,0.010937787102640519,0.019068736318202974,0.013367647352999681,0.023507698691275638,0.007931756176388863,0.03343005896531069,0.07154906637926345,0.02795184428169463,0.06084770581356464,0.03896582463586667,0.04841253627013251,0.03829772312955404,0.029417989333866423,0.0167188975153038,0.02739127548286207,0.02610842850872116,0.030871818014105143,0.01351328534639152,0.016881882747631697,0.13747837549255915,0.13797611797945483,0.13819716024262657
