,trn_loss,vld_loss,vld_rel_err,vld_rel_err_o,vld_rel_err_h
0,0.47351574222246806,0.14632920205593108,0.23404466569423676,0.43575724244117736,0.20416132152080535
1,0.09038752824068069,0.04931876733899117,0.15527374863624574,0.21444398880004883,0.14650779128074645
2,0.03763071561853091,0.02659333758056164,0.10991672098636628,0.14666855454444885,0.10447200447320938
3,0.022698054164648054,0.017858358025550844,0.0903536182641983,0.10897655993700027,0.08759466052055359
4,0.01581387838969628,0.012863330170512199,0.07642618596553802,0.08406582832336426,0.075294389128685
5,0.011572255454957485,0.009634889885783196,0.06563079863786697,0.06536285281181335,0.06567049890756607
6,0.00864451120297114,0.007081641722470522,0.05591619953513145,0.05260501995682716,0.05640674203634262
7,0.006433420758694411,0.0053510432690382,0.04826970741152763,0.043808440268039706,0.048930637538433075
8,0.0049837139310936135,0.004257228989154101,0.043169685453176496,0.03850189536809921,0.04386121064424515
9,0.004012296680981914,0.003504782058298588,0.03941687747836113,0.03524361327290535,0.040035140514373777
10,0.0033179394248872996,0.002928051669150591,0.036285170465707776,0.033125097081065175,0.03675333067774773
11,0.0027724260526398817,0.002468324853107333,0.033601170405745506,0.030906624794006347,0.034000363126397135
12,0.0023461225101103385,0.002104449984617531,0.03122164383530617,0.028762130439281462,0.031586017608642575
13,0.0020108403901879985,0.0018151608249172568,0.029130571112036704,0.026765734329819678,0.029480918273329736
14,0.0017182167169327537,0.0015553173376247286,0.027102938666939736,0.025019635558128358,0.027411575987935068
15,0.0014816230023279786,0.0013674898725003005,0.025518465265631677,0.02328434318304062,0.025849448069930076
16,0.0012931956149016817,0.0011919408524408938,0.023723351061344145,0.02172105886042118,0.02401998721063137
17,0.001138993837715437,0.0010616915137507022,0.02239145591855049,0.020435898154973983,0.022681168615818023
18,0.001017402362388869,0.0009600160177797079,0.021185770332813263,0.019381043687462806,0.021453137397766112
19,0.0009198185281517605,0.0008731950889341533,0.020166588723659517,0.018480916619300843,0.020416317656636238
20,0.0008459512299547593,0.0008075854252092541,0.019301345273852348,0.017699947133660316,0.019538589790463447
21,0.0007735852090020974,0.0007412231480702758,0.01853936143219471,0.016893776282668114,0.018783151805400848
22,0.0007205011175634961,0.0006984660634770989,0.017913128174841406,0.016342180594801903,0.01814586076885462
23,0.0006787926820106805,0.0006609434785787016,0.01739254917949438,0.015815537758171558,0.01762618076056242
24,0.0006320309468234579,0.0006162523990496993,0.016789982691407204,0.015038339346647263,0.017049486674368383
25,0.0006036499010709425,0.0005878216354176403,0.016400464922189713,0.014632057584822177,0.01666245087981224
26,0.0005698679038323461,0.0005554999923333525,0.015866601839661598,0.014217263236641884,0.016110948510468005
27,0.0005397009511943907,0.0005338054965250194,0.015555895231664181,0.01382975246757269,0.015811619982123375
28,0.0005143307739247879,0.0005070154787972569,0.01508762214332819,0.013487342074513435,0.015324701257050037
29,0.0004920245179285606,0.00048415700206533074,0.014710737392306328,0.013010092824697495,0.014962685480713844
30,0.00047094120488812524,0.00046383629320189356,0.014389350041747094,0.012733247578144074,0.01463469810783863
31,0.0004530537958877782,0.0004479273676406592,0.014124348051846028,0.012329951375722886,0.014390184991061688
32,0.00043574150690498453,0.00043119520647451283,0.01385814994573593,0.01209516279399395,0.014119332619011403
33,0.00041883983261262376,0.0004118297342211008,0.013562147244811059,0.011748595871031284,0.013830821923911572
34,0.0004032078470724324,0.0003993828292004764,0.013389822728931904,0.011569453254342079,0.013659506812691688
