,trn_loss,vld_loss,vld_rel_err,vld_rel_err_o,vld_rel_err_h
0,0.11325286149978638,0.0782331520318985,0.4667234647274017,0.39900633573532107,0.48664027333259585
1,0.07147680183251699,0.06915063083171845,0.46174755454063415,0.405640252828598,0.47824969291687014
2,0.06775366216897964,0.06649661421775818,0.4497203481197357,0.3700742018222809,0.4731456661224365
3,0.06418252299229305,0.06151465460658073,0.4252712941169739,0.35601658225059507,0.4456403398513794
4,0.05928613965710004,0.056986811459064486,0.405862603187561,0.34019853234291075,0.42517555952072145
5,0.054966233174006146,0.05339612856507301,0.3848531413078308,0.3244308114051819,0.40262442469596865
6,0.05179921994606654,0.050432141423225406,0.3688236558437347,0.31597758054733277,0.384366602897644
7,0.048883910824855166,0.04691815137863159,0.3511420750617981,0.3068786585330963,0.36416075587272645
8,0.04484250714381536,0.04239930525422096,0.3268205177783966,0.30116169810295107,0.3343672466278076
9,0.039844838281472526,0.03810774877667427,0.3039235866069794,0.2899104177951813,0.30804509997367857
10,0.0348161377509435,0.032957306802272796,0.27155147671699525,0.23771125435829163,0.28150447010993956
11,0.030027622456351915,0.0270540127158165,0.23966796875,0.22230379462242125,0.24477507710456847
12,0.023648770675063133,0.020606604963541032,0.201012082695961,0.2080146437883377,0.19895250737667083
13,0.018310990569492182,0.016223307847976685,0.17648955643177033,0.20105376601219177,0.16926479697227478
14,0.014599608133236568,0.012800349444150925,0.1535309547185898,0.19344062745571136,0.14179281294345855
15,0.011601518280804158,0.010823958963155746,0.13992826521396637,0.18742446303367616,0.12595880508422852
16,0.009722823314368724,0.008925734125077724,0.12400757431983948,0.18050466001033783,0.10739078253507614
17,0.008405844109753768,0.008058412559330463,0.11549072206020355,0.17734281241893768,0.09729892998933792
18,0.0076617033531268435,0.007310571409761906,0.10733037650585174,0.1698993980884552,0.0889277246594429
19,0.007174398098140955,0.006987861469388008,0.10356902867555619,0.1665915381908417,0.08503300338983535
20,0.006776137004295985,0.006873042844235897,0.10351367324590682,0.16210511744022368,0.08628090113401413
21,0.0066101543915768465,0.006624512188136577,0.10013041317462922,0.15966807007789613,0.0826193356513977
22,0.006237303943683704,0.006205493435263634,0.09410587280988693,0.15553399205207824,0.07603878676891326
23,0.005957281639178594,0.005853111892938614,0.0899412551522255,0.15223999381065367,0.07161810517311096
24,0.005746190746625264,0.005753800999373198,0.08899815320968628,0.1499599778652191,0.07106820732355118
25,0.005539330895990133,0.005457335505634546,0.0858446180820465,0.14515004992485048,0.06840184360742568
26,0.0052725913065175215,0.005181226171553135,0.08279427170753478,0.1396596223115921,0.06606916844844818
27,0.004993672532339891,0.004959003105759621,0.08051710188388825,0.13242172062397004,0.06525103390216827
28,0.004721412174403667,0.0046780891530215744,0.07799113810062408,0.12747367560863496,0.06343744844198226
29,0.004477015677839518,0.004442461133003235,0.0763065692782402,0.12118383944034576,0.06310737609863282
30,0.00415456073358655,0.004165812134742737,0.07444415479898453,0.11611162304878235,0.0621890178322792
31,0.0038528151841213305,0.003741620350629091,0.0717794531583786,0.10875853717327118,0.060903250873088836
32,0.0033494328924765187,0.003046250008046627,0.06820473223924636,0.09544740736484528,0.06019218146800995
33,0.002539745680987835,0.002135821348056197,0.06256564944982529,0.077452212870121,0.05818724930286408
34,0.0018871369616438945,0.0018426326662302017,0.06046436041593552,0.0654294040799141,0.05900405615568161
35,0.0016703391199310621,0.0016515769669786095,0.05755692362785339,0.06175372630357742,0.05632256969809532
36,0.0015281415171921253,0.001516976892016828,0.05537135541439056,0.0578901943564415,0.0546305213868618
37,0.001437825271859765,0.0014581166487187148,0.054294119477272036,0.05509693622589111,0.05405799925327301
38,0.0013767997284109394,0.0013596177101135253,0.05236830934882164,0.05287414312362671,0.052219529896974565
39,0.0012773336035509905,0.00136865746229887,0.05238950088620186,0.05233914732933045,0.052404314130544666
40,0.0012471481055642169,0.0012482219515368342,0.04988155961036682,0.05018163159489632,0.04979330778121948
41,0.0011721039159844318,0.001182502512820065,0.048881260752677916,0.04775671511888504,0.049212013334035874
42,0.0010989413301770886,0.0011521266587078572,0.04795399367809296,0.04623160645365715,0.04846057578921318
43,0.0010962320491671562,0.0011579436156898737,0.0479928408563137,0.04647674709558487,0.04843875139951706
44,0.0010450426520158848,0.001100229830481112,0.04710237219929695,0.04599259927868843,0.04742877617478371
45,0.0010256652642662326,0.0010506998468190433,0.04585010230541229,0.04370871171355248,0.046479924619197845
46,0.0009737961133942008,0.001006939597427845,0.04520561441779137,0.04347603365778923,0.045714315325021744
47,0.0009272127815832694,0.0009750482672825455,0.04421101167798042,0.04252349466085434,0.044707345068454744
48,0.0009043176091896991,0.001023315847851336,0.04537715539336205,0.04248239248991013,0.046228559613227846
49,0.0009160980737457673,0.0009726200578734278,0.044102748781442644,0.04167528301477432,0.04481671258807182
50,0.000877841212010632,0.0008771518059074878,0.041765432059764865,0.040365540534257886,0.0421771639585495
51,0.000816385968743513,0.000884291073307395,0.04208355486392975,0.04014689192175865,0.04265316411852837
