,trn_loss,vld_loss,vld_rel_err,vld_rel_err_o,vld_rel_err_h
0,4.311934131940206,0.33486600971221925,0.4394904522895813,0.4576435012817383,0.43381763315200805
1,0.1658599046667417,0.07376783400774002,0.18905294978618623,0.12814883756637574,0.20808548665046692
2,0.04725508278111617,0.029038548573851585,0.09875093376636505,0.05984504261612892,0.11090902668237686
3,0.02105912118405104,0.015131284661591053,0.05977321994304657,0.029365604251623153,0.06927559840679169
4,0.011903367665906748,0.009223840348422527,0.040840806275606156,0.016707705274224282,0.04838240042328835
5,0.007524546023458242,0.006016720678657293,0.02995920117199421,0.0108919330611825,0.035917720675468445
6,0.0047625259322424725,0.003645946230739355,0.024159022569656373,0.010260071605443954,0.02850244577229023
7,0.0028941163488974174,0.0022254543006420134,0.01808275467157364,0.00788859085738659,0.021268430858850478
8,0.0017671980236967405,0.0013604666478931903,0.013691376522183418,0.005776060096919536,0.01616491338610649
9,0.001080509385249267,0.0008312010294757783,0.01076539347320795,0.004409276708960533,0.012751679942011833
10,0.000659671671067675,0.0005067489552311599,0.008475756265223027,0.0034737418070435525,0.01003888575732708
11,0.0004000132946918408,0.0003043635650537908,0.006792001500725746,0.0029147452879697082,0.008003643967211246
12,0.00023826702785057326,0.00018007514195051045,0.005438770532608032,0.0025108429398387672,0.006353747747838498
13,0.00014012328409201776,0.00010522027610568329,0.004368820600211621,0.0021199793368577957,0.005071583542972803
14,8.187370450468734e-05,6.163482693955302e-05,0.0036015656907111408,0.0019064780157059431,0.004131280664354563
15,4.8313846384796006e-05,3.704474907135591e-05,0.0030561571884900334,0.0017892752215266227,0.0034520579110831023
16,2.9681911662919448e-05,2.34030695137335e-05,0.0026517512295395136,0.0017631608378142118,0.002929435811936855
17,1.9277477399252046e-05,1.573326015204657e-05,0.0023351657930761574,0.0016857897359877825,0.002538095690310001
18,1.359178628626978e-05,1.1882490638527088e-05,0.00215901018306613,0.0017074139220640064,0.0023001340217888356
19,1.0728141918662004e-05,9.741426198161207e-06,0.002000630121678114,0.0016650473214685918,0.0021054997388273477
20,9.263172612312094e-06,8.744829654460773e-06,0.0019337399210780858,0.001672599371522665,0.002015346322208643
21,8.486438979161903e-06,8.281323876872193e-06,0.0019065036922693253,0.0016762670297175645,0.001978452732786536
22,8.120224492207247e-06,7.950889536004979e-06,0.001850132204592228,0.0016535762567073107,0.0019115559458732605
23,8.09361780072019e-06,7.830166417988949e-06,0.0018322668988257646,0.0016511089038103819,0.0018888786863535643
24,7.828866895579268e-06,7.76368749939138e-06,0.0018222442623227835,0.0016499718334525824,0.0018760793693363667
25,7.83554526909332e-06,8.338125466252676e-06,0.0019421257693320512,0.00175330681912601,0.0020011317022144794
26,7.833791532902979e-06,7.715677042142488e-06,0.0018141212053596973,0.0016449687536805868,0.00186698136664927
27,7.732608338604526e-06,7.723819035163615e-06,0.001811199575662613,0.0016417145859450102,0.0018641636576503516
28,7.761221640976145e-06,7.692562328884378e-06,0.0018173528779298067,0.0016491177920252085,0.0018699263501912354
29,7.839698628231418e-06,7.713799735938665e-06,0.0018113472908735276,0.0016431741397827863,0.0018639014046639205
30,7.789426281912407e-06,7.737432119029109e-06,0.001811939498409629,0.0016382359666749836,0.001866221845149994
31,7.745549405323496e-06,7.638621762453113e-06,0.0018121602609753608,0.0016424354799091817,0.0018651992585510015
32,7.85504197362267e-06,8.130467045702971e-06,0.0019034509379416704,0.001726956395432353,0.0019586054496467113
33,7.710370734760849e-06,7.846072563552298e-06,0.0019023225959390402,0.0017280955454334617,0.001956768536940217
34,7.672066600207473e-06,7.5688840079237705e-06,0.0017969475649297238,0.0016282104970887304,0.0018496778551489114
35,7.684827757960496e-06,7.630119456734973e-06,0.001828577658161521,0.0016648120554164053,0.0018797544222325087
36,7.640983213301904e-06,7.60792127402965e-06,0.0018101686369627714,0.0016496526021510362,0.0018603298086673022
37,7.679758617693248e-06,7.77273895801045e-06,0.0018510227203369142,0.001677141551859677,0.0019053606037050487
38,7.592289044017283e-06,8.211750238842796e-06,0.0019646662920713423,0.0017917455658316612,0.0020187040343880654
